OID_,OID1,given_address,lat,lon,formatted,housenumber,street,name,suburb,postcode,city,county,state,state_code,country,country_code,confidence,confidence_street_level,confidence_city_level,attribution,attribution_license,attribution_url,Company,Address,ObjectID,Shop,Powerade_Gatorade,Orange,Hot_Chocolate,Cookies,Pretzel_Bites,Popcorn,Ice_Cream,Frozen_Drinks,Sell_Bags_of_Ice,Iced_Tea,Italian_Sodas,Kids_Drinks,Smallest_Size,F16_oz__Base_Price,ObjectID_1
1,,"499S 500E Suite E American Fork, UT 84003",40.376806400000000,-111.795914600000003,"American Fork, UT 84003, United States of America",,,,,84003,American Fork,Utah County,Utah,UT,United States,us,0.250000000000000,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,Fiiz Drinks,"499S 500E Suite E American Fork, UT 84003",1,Fiiz Drinks,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,16 oz.,1.980000000000000,1
2,,"45W 400N Bountiful, UT 84010",40.889461099999998,-111.880481700000004,"Bountiful, UT 84010, United States of America",,,,,84010,Bountiful,Davis County,Utah,UT,United States,us,0.250000000000000,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,Fiiz Drinks,"45W 400N Bountiful, UT 84010",2,Fiiz Drinks,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,16 oz.,1.980000000000000,2
3,,"75E 200S Bountiful, UT 84010",40.889461099999998,-111.880481700000004,"Bountiful, UT 84010, United States of America",,,,,84010,Bountiful,Davis County,Utah,UT,United States,us,0.250000000000000,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,Fiiz Drinks,"75E 200S Bountiful, UT 84010",3,Fiiz Drinks,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,16 oz.,1.980000000000000,3
4,,"894W 1150S Brigham City, UT 84302",41.503177549999997,-112.024845400000004,"Brigham City, UT 84302, United States of America",,,Brigham City,,84302,Brigham City,Box Elder County,Utah,UT,United States,us,0.250000000000000,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,Fiiz Drinks,"894W 1150S Brigham City, UT 84302",4,Fiiz Drinks,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,16 oz.,1.980000000000000,4
5,,"392 N Cross Hollow Rd Cedar City, UT 84721",37.678227999999997,-113.108286000000007,"11 North Cross Hollow Road, Cedar City, UT 84720, United States of America",11,North Cross Hollow Road,,,84720,Cedar City,Iron County,Utah,UT,United States,us,0.500000000000000,1.000000000000000,1,© OpenAddresses contributors,BSD-3-Clause License,,Fiiz Drinks,"392 N Cross Hollow Rd Cedar City, UT 84721",5,Fiiz Drinks,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,16 oz.,1.980000000000000,5
6,,"28E 450N Ephraim, UT 84627",39.359684199999997,-111.586304999999996,"Ephraim, UT 84627, United States of America",,,,,84627,Ephraim,Sanpete County,Utah,UT,United States,us,0.250000000000000,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,Fiiz Drinks,"28E 450N Ephraim, UT 84627",6,Fiiz Drinks,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,16 oz.,1.980000000000000,6
7,,"121 N East Promontory Farmington, UT 84025",40.983148000000000,-111.906744000000003,"121 North East Promontory, Farmington, UT 84025, United States of America",121,North East Promontory,,,84025,Farmington,Davis County,Utah,UT,United States,us,1.000000000000000,1.000000000000000,1,© OpenAddresses contributors,BSD-3-Clause License,,Fiiz Drinks,"121 N East Promontory Farmington, UT 84025",7,Fiiz Drinks,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,16 oz.,1.980000000000000,7
8,,"920S UT-99 Fillmore, UT 84631",38.968852400000003,-112.323548700000003,"Fillmore, UT 84631, United States of America",,,,,84631,Fillmore,Millard County,Utah,UT,United States,us,0.250000000000000,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,Fiiz Drinks,"920S UT-99 Fillmore, UT 84631",8,Fiiz Drinks,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,16 oz.,1.980000000000000,8
9,,"13308S 5600W Herriman, UT 84096",40.513978399999999,-112.032908599999999,"Herriman, UT 84096, United States of America",,,,,84096,Herriman,Salt Lake County,Utah,UT,United States,us,0.250000000000000,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,Fiiz Drinks,"13308S 5600W Herriman, UT 84096",9,Fiiz Drinks,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,16 oz.,1.980000000000000,9
10,,"5517W 11000N Highland, UT 84003",40.380180439999997,-111.791439499999996,"American Fork, UT 84003, United States of America",,,American Fork,,84003,American Fork,Utah County,Utah,UT,United States,us,0.250000000000000,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,Fiiz Drinks,"5517W 11000N Highland, UT 84003",10,Fiiz Drinks,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,16 oz.,1.980000000000000,10
11,,"540 W State St Hurricane, UT 84737",37.176988999999999,-113.298475999999994,"540 West State Street, Hurricane, UT 84737, United States of America",540,West State Street,,,84737,Hurricane,Washington County,Utah,UT,United States,us,1.000000000000000,1.000000000000000,1,© OpenAddresses contributors,BSD-3-Clause License,,Fiiz Drinks,"540 W State St Hurricane, UT 84737",11,Fiiz Drinks,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,16 oz.,1.980000000000000,11
12,,"315 N Main Street Kaysville, UT 84037",41.039987000000004,-111.941291000000007,"315 North Main Street, Kaysville, UT 84037, United States of America",315,North Main Street,,,84037,Kaysville,Davis County,Utah,UT,United States,us,1.000000000000000,1.000000000000000,1,© OpenAddresses contributors,BSD-3-Clause License,,Fiiz Drinks,"315 N Main Street Kaysville, UT 84037",12,Fiiz Drinks,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,16 oz.,1.980000000000000,12
13,,"1346W 200N Kaysville, UT 84037",41.034984700000003,-111.938393099999999,"Kaysville, UT 84037, United States of America",,,,,84037,Kaysville,Davis County,Utah,UT,United States,us,0.250000000000000,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,Fiiz Drinks,"1346W 200N Kaysville, UT 84037",13,Fiiz Drinks,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,16 oz.,1.980000000000000,13
14,,"375 N Lagoon Dr Farmington, UT 84025",40.985624999999999,-111.896325000000004,"375 North Lagoon Drive, Farmington, UT 84025, United States of America",375,North Lagoon Drive,,,84025,Farmington,Davis County,Utah,UT,United States,us,1.000000000000000,1.000000000000000,1,© OpenAddresses contributors,BSD-3-Clause License,,Fiiz Drinks,"375 N Lagoon Dr Farmington, UT 84025",14,Fiiz Drinks,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,16 oz.,1.980000000000000,14
15,,"375 N Lagoon Dr Farmington, UT 84025",40.985624999999999,-111.896325000000004,"375 North Lagoon Drive, Farmington, UT 84025, United States of America",375,North Lagoon Drive,,,84025,Farmington,Davis County,Utah,UT,United States,us,1.000000000000000,1.000000000000000,1,© OpenAddresses contributors,BSD-3-Clause License,,Fiiz Drinks,"375 N Lagoon Dr Farmington, UT 84025",14,Fiiz Drinks,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,16 oz.,1.980000000000000,15
16,,"2631 N Hillfield Rd Layton, UT 84041",41.098523000000000,-111.973879999999994,"2631 N Hill Field Road, Layton, UT 84041, United States of America",2631,N Hill Field Road,,,84041,Layton,Davis County,Utah,UT,United States,us,1.000000000000000,1.000000000000000,1,© OpenAddresses contributors,BSD-3-Clause License,,Fiiz Drinks,"2631 N Hillfield Rd Layton, UT 84041",16,Fiiz Drinks,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,16 oz.,1.980000000000000,16
17,,"1201 N Hillfield Rd Layton, UT 84041",41.078144999999999,-111.976256000000006,"1201 N Hill Field Road, Layton, UT 84041, United States of America",1201,N Hill Field Road,,,84041,Layton,Davis County,Utah,UT,United States,us,1.000000000000000,1.000000000000000,1,© OpenAddresses contributors,BSD-3-Clause License,,Fiiz Drinks,"1201 N Hillfield Rd Layton, UT 84041",17,Fiiz Drinks,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,16 oz.,1.980000000000000,17
18,,"790N 1600W Mapleton, UT 84664",40.130233799999999,-111.578528100000000,"Mapleton, UT 84664, United States of America",,,,,84664,Mapleton,Utah County,Utah,UT,United States,us,0.250000000000000,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,Fiiz Drinks,"790N 1600W Mapleton, UT 84664",18,Fiiz Drinks,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,16 oz.,1.980000000000000,18
19,,"5055 S State St Murray, UT 84107",40.661548000000003,-111.888036000000000,"5055 South State Street, Murray, UT 84107, United States of America",5055,South State Street,,,84107,Murray,Salt Lake County,Utah,UT,United States,us,1.000000000000000,1.000000000000000,1,© OpenAddresses contributors,BSD-3-Clause License,,Fiiz Drinks,"5055 S State St Murray, UT 84107",19,Fiiz Drinks,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,16 oz.,1.980000000000000,19
20,,"2592N 400E North Ogden, UT 84414",41.307135400000000,-111.960198599999998,"North Ogden, UT 84414, United States of America",,,,,84414,North Ogden,Weber County,Utah,UT,United States,us,0.250000000000000,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,Fiiz Drinks,"2592N 400E North Ogden, UT 84414",20,Fiiz Drinks,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,16 oz.,1.980000000000000,20
21,,"761 N Redwood Rd #140 North Salt Lake, UT 84054",40.854922999999999,-111.930269999999993,"761 North Redwood Road, North Salt Lake, UT 84054, United States of America",761,North Redwood Road,,,84054,North Salt Lake,Davis County,Utah,UT,United States,us,0.375000000000000,0.375000000000000,1,© OpenAddresses contributors,BSD-3-Clause License,,Fiiz Drinks,"761 N Redwood Rd #140 North Salt Lake, UT 84054",21,Fiiz Drinks,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,16 oz.,1.980000000000000,21
22,,"1077 W 12th St Unit 1 Marriott-Slaterville, UT 84404",41.244441180000003,-112.002975899999996,"1077 West 12th Street, Marriott-Slaterville, UT 84404, United States of America",1077,West 12th Street,,,84404,Marriott-Slaterville,Weber County,Utah,UT,United States,us,1.000000000000000,1.000000000000000,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,Fiiz Drinks,"1077 W 12th St Unit 1 Marriott-Slaterville, UT 84404",22,Fiiz Drinks,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,16 oz.,1.980000000000000,22
23,,"2356 Kiesel Ave Ogden, UT 84401",41.223640449999998,-111.971661999999995,"2356 Kiesel Avenue, Ogden, UT 84401, United States of America",2356,Kiesel Avenue,,25th Street,84401,Ogden,Weber County,Utah,UT,United States,us,1.000000000000000,1.000000000000000,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,Fiiz Drinks,"2356 Kiesel Ave Ogden, UT 84401",23,Fiiz Drinks,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,16 oz.,1.980000000000000,23
24,,"1120 West Center St Orem, UT 84057",40.297248820000000,-111.722099000000000,"1120 West Center Street, Orem, UT 84057, United States of America",1120,West Center Street,,,84057,Orem,Utah County,Utah,UT,United States,us,1.000000000000000,1.000000000000000,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,Fiiz Drinks,"1120 West Center St Orem, UT 84057",24,Fiiz Drinks,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,16 oz.,1.980000000000000,24
25,,"1186S 100W Unit #2 Richfield, UT 84701",38.772467399999996,-112.084094300000004,"Richfield, UT, United States of America",,,,,,Richfield,Sevier County,Utah,UT,United States,us,0.250000000000000,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,Fiiz Drinks,"1186S 100W Unit #2 Richfield, UT 84701",25,Fiiz Drinks,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,16 oz.,1.980000000000000,25
26,,"4860S 1900W Roy, UT 84067",41.161799899999998,-112.026190299999996,"Roy, UT 84067, United States of America",,,,,84067,Roy,Weber County,Utah,UT,United States,us,0.250000000000000,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,Fiiz Drinks,"4860S 1900W Roy, UT 84067",26,Fiiz Drinks,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,16 oz.,1.980000000000000,26
27,,"623 N SR 198 Salem, UT 84653",40.064048399999997,-111.667545000000004,"Fiiz Drinks, 623 North SR-198, Salem, UT 84653, United States of America",623,North SR-198,Fiiz Drinks,,84653,Salem,Utah County,Utah,UT,United States,us,1.000000000000000,1.000000000000000,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,Fiiz Drinks,"623 N SR 198 Salem, UT 84653",27,Fiiz Drinks,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,16 oz.,1.980000000000000,27
28,,"7910S 1300E Sandy, UT 84094",40.581782500000003,-111.859464799999998,"Sandy, UT 84094, United States of America",,,Sandy,,84094,Sandy,Salt Lake County,Utah,UT,United States,us,0.250000000000000,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,Fiiz Drinks,"7910S 1300E Sandy, UT 84094",28,Fiiz Drinks,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,16 oz.,1.980000000000000,28
29,,"191 Crossroads Blvd Suite E Saratoga Springs, UT 84045",40.386969000000001,-111.920854000000006,"191 W Crossroads Boulevard, Saratoga Springs, UT 84045, United States of America",191,W Crossroads Boulevard,,,84045,Saratoga Springs,Utah County,Utah,UT,United States,us,0.950000000000000,0.950000000000000,1,© OpenAddresses contributors,BSD-3-Clause License,,Fiiz Drinks,"191 Crossroads Blvd Suite E Saratoga Springs, UT 84045",29,Fiiz Drinks,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,16 oz.,1.980000000000000,29
30,,"10384 S Redwood Rd South Jordan, UT 84095",40.563035999999997,-111.939291999999995,"10384 South Redwood Road, South Jordan, UT 84095, United States of America",10384,South Redwood Road,,,84095,South Jordan,Salt Lake County,Utah,UT,United States,us,1.000000000000000,1.000000000000000,1,© OpenAddresses contributors,BSD-3-Clause License,,Fiiz Drinks,"10384 S Redwood Rd South Jordan, UT 84095",30,Fiiz Drinks,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,16 oz.,1.980000000000000,30
31,,"6029 Fashion Point Dr South Ogden, UT 84403",41.153311199999997,-111.936019599999995,"6029 Fashion Point Drive, South Ogden, UT 84405, United States of America",6029,Fashion Point Drive,,,84405,South Ogden,Weber County,Utah,UT,United States,us,1.000000000000000,1.000000000000000,1,,,,Fiiz Drinks,"6029 Fashion Point Dr South Ogden, UT 84403",31,Fiiz Drinks,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,16 oz.,1.980000000000000,31
32,,"1362 E Center St Spanish Fork, UT 84660",40.109040399999998,-111.631469999999993,"Fiiz Drinks, 1362 East Center Street, Spanish Fork, UT 84660, United States of America",1362,East Center Street,Fiiz Drinks,,84660,Spanish Fork,Utah County,Utah,UT,United States,us,1.000000000000000,1.000000000000000,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,Fiiz Drinks,"1362 E Center St Spanish Fork, UT 84660",32,Fiiz Drinks,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,16 oz.,1.980000000000000,32
33,,"2339 S River Rd St. George, UT 84790",37.068424000000000,-113.549924000000004,"2339 S River Road, St. George, UT 84790, United States of America",2339,S River Road,,,84790,St. George,Washington County,Utah,UT,United States,us,1.000000000000000,1.000000000000000,1,© OpenAddresses contributors,BSD-3-Clause License,,Fiiz Drinks,"2339 S River Rd St. George, UT 84790",33,Fiiz Drinks,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,16 oz.,1.980000000000000,33
34,,"6777 N Highway 36 #400 Stansbury Park, UT 84074",40.652127000000000,-112.289770000000004,"6777 N Hwy 36 Highway, Tooele, UT 84074, United States of America",6777,N Hwy 36 Highway,,,84074,Tooele,Tooele County,Utah,UT,United States,us,0.950000000000000,0.950000000000000,1,© OpenAddresses contributors,BSD-3-Clause License,,Fiiz Drinks,"6777 N Highway 36 #400 Stansbury Park, UT 84074",34,Fiiz Drinks,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,16 oz.,1.980000000000000,34
35,,"1642S 2000W Syracuse, UT 84075",41.089593800000003,-112.063890299999997,"Syracuse, UT 84075, United States of America",,,,,84075,Syracuse,Davis County,Utah,UT,United States,us,0.250000000000000,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,Fiiz Drinks,"1642S 2000W Syracuse, UT 84075",35,Fiiz Drinks,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,16 oz.,1.980000000000000,35
36,,"2530W 4700S Taylorsville, UT 84129",40.655036410000001,-111.941288999999998,"Taylorsville, UT 84129, United States of America",,,Taylorsville,,84129,Taylorsville,Salt Lake County,Utah,UT,United States,us,0.250000000000000,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,Fiiz Drinks,"2530W 4700S Taylorsville, UT 84129",36,Fiiz Drinks,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,16 oz.,1.980000000000000,36
37,,"1970W 2550S Suite 105 West Haven, UT 84401",41.204957800000003,-112.048898500000007,"West Haven, UT, United States of America",,,,,,West Haven,Weber County,Utah,UT,United States,us,0.250000000000000,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,Fiiz Drinks,"1970W 2550S Suite 105 West Haven, UT 84401",37,Fiiz Drinks,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,16 oz.,1.980000000000000,37
38,,"4671S Midland Dr West Haven, UT 84401",41.178429000000001,-112.063243000000000,"4671 South Midland Drive, West Haven, UT 84401, United States of America",4671,South Midland Drive,,,84401,West Haven,Weber County,Utah,UT,United States,us,0.950000000000000,0.950000000000000,1,© OpenAddresses contributors,BSD-3-Clause License,,Fiiz Drinks,"4671S Midland Dr West Haven, UT 84401",38,Fiiz Drinks,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,16 oz.,1.980000000000000,38
39,,"7724S 5600W Ste 101 West Jordan, UT 84081",40.598058049999999,-112.043888699999997,"West Jordan, UT 84081, United States of America",,,West Jordan,,84081,West Jordan,Salt Lake County,Utah,UT,United States,us,0.250000000000000,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,Fiiz Drinks,"7724S 5600W Ste 101 West Jordan, UT 84081",39,Fiiz Drinks,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,16 oz.,1.980000000000000,39
40,,"2935 S Glen Eagle Dr West Valley, UT 84128",40.706718000000002,-112.025486000000001,"2935 S Glen Eagles Drive, West Valley City, UT 84128, United States of America",2935,S Glen Eagles Drive,,Addison Park Three and Four,84128,West Valley City,Salt Lake County,Utah,UT,United States,us,0.950000000000000,0.950000000000000,1,© OpenAddresses contributors,BSD-3-Clause License,,Fiiz Drinks,"2935 S Glen Eagle Dr West Valley, UT 84128",40,Fiiz Drinks,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,16 oz.,1.980000000000000,40
41,,"241 W Main St American Fork, UT 84003",40.376553800000003,-111.805006700000007,"Sodalicious, 241 West Main Street, American Fork, UT 84003, United States of America",241,West Main Street,Sodalicious,,84003,American Fork,Utah County,Utah,UT,United States,us,1.000000000000000,1.000000000000000,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,Sodalicious,"241 W Main St American Fork, UT 84003",41,Sodalicious,N,Y,Y,Y,N,Y,N,N,N,Y,N,Y,12 oz.,1.740000000000000,41
42,,"5136 W 13400 S Suite 100 Riverton, UT 84096",40.508293000000002,-112.013402999999997,"5136 West 13400 South, Herriman, UT 84096, United States of America",5136,West 13400 South,,,84096,Herriman,Salt Lake County,Utah,UT,United States,us,1.000000000000000,1.000000000000000,1,© OpenAddresses contributors,BSD-3-Clause License,,Sodalicious,"5136 W 13400 S Suite 100 Riverton, UT 84096",42,Sodalicious,N,Y,Y,Y,N,Y,N,N,N,Y,N,Y,12 oz.,1.740000000000000,42
43,,"736 W Blue Vista Lane #100 Midvale, UT 84047",40.619722060000001,-111.911485700000000,"736 West Blue Vista Lane, Midvale, UT 84047, United States of America",736,West Blue Vista Lane,,,84047,Midvale,Salt Lake County,Utah,UT,United States,us,1.000000000000000,1.000000000000000,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,Sodalicious,"736 W Blue Vista Lane #100 Midvale, UT 84047",43,Sodalicious,N,Y,Y,Y,N,Y,N,N,N,Y,N,Y,12 oz.,1.740000000000000,43
44,,"3667 Highland Dr Salt Lake City, UT 84106",40.691507280000003,-111.847270300000005,"3667 Highland Drive, Millcreek, UT 84106, United States of America",3667,Highland Drive,,,84106,Millcreek,Salt Lake County,Utah,UT,United States,us,1.000000000000000,1.000000000000000,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,Sodalicious,"3667 Highland Dr Salt Lake City, UT 84106",44,Sodalicious,N,Y,Y,Y,N,Y,N,N,N,Y,N,Y,12 oz.,1.740000000000000,44
45,,"162 W Center St Orem, UT 84057",40.297483000000000,-111.699708000000001,"162 W Center Street, Orem, UT 84057, United States of America",162,W Center Street,,,84057,Orem,Utah County,Utah,UT,United States,us,1.000000000000000,1.000000000000000,1,© OpenAddresses contributors,BSD-3-Clause License,,Sodalicious,"162 W Center St Orem, UT 84057",45,Sodalicious,N,Y,Y,Y,N,Y,N,N,N,Y,N,Y,12 oz.,1.740000000000000,45
46,,"495 W University Parkway Orem, UT 84058",40.273514929999997,-111.706375399999999,"495 West University Parkway, Orem, UT 84058, United States of America",495,West University Parkway,,,84058,Orem,Utah County,Utah,UT,United States,us,1.000000000000000,1.000000000000000,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,Sodalicious,"495 W University Parkway Orem, UT 84058",46,Sodalicious,N,Y,Y,Y,N,Y,N,N,N,Y,N,Y,12 oz.,1.740000000000000,46
47,,"1534 S State St Orem, UT 84097",40.269219000000000,-111.683133999999995,"1534 South State Street, Orem, UT 84097, United States of America",1534,South State Street,,,84097,Orem,Utah County,Utah,UT,United States,us,1.000000000000000,1.000000000000000,1,© OpenAddresses contributors,BSD-3-Clause License,,Sodalicious,"1534 S State St Orem, UT 84097",47,Sodalicious,N,Y,Y,Y,N,Y,N,N,N,Y,N,Y,12 oz.,1.740000000000000,47
48,,"800 W University Parkway Scott C. Keller Building Orem, UT 84058",40.277115000000002,-111.712776000000005,"800 West University Parkway, Orem, UT 84058, United States of America",800,West University Parkway,,,84058,Orem,Utah County,Utah,UT,United States,us,0.000000000000000,,1,© OpenAddresses contributors,BSD-3-Clause License,,Sodalicious,"800 W University Parkway Scott C. Keller Building Orem, UT 84058",48,Sodalicious,N,Y,Y,Y,N,Y,N,N,N,Y,N,Y,12 oz.,1.740000000000000,48
49,,"152 S Pleasant Grove Blvd Pleasant Grove, UT 84062",40.362195139999997,-111.755279799999997,"152 South Pleasant Grove Boulevard, Pleasant Grove, UT 84062, United States of America",152,South Pleasant Grove Boulevard,,,84062,Pleasant Grove,Utah County,Utah,UT,United States,us,1.000000000000000,1.000000000000000,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,Sodalicious,"152 S Pleasant Grove Blvd Pleasant Grove, UT 84062",49,Sodalicious,N,Y,Y,Y,N,Y,N,N,N,Y,N,Y,12 oz.,1.740000000000000,49
50,,"97 E 100 N Price, UT 84501",39.601073999999997,-110.811078100000003,"97 East 100 North, Price, UT 84501, United States of America",97,East 100 North,,,84501,Price,Carbon County,Utah,UT,United States,us,1.000000000000000,1.000000000000000,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,Sodalicious,"97 E 100 N Price, UT 84501",50,Sodalicious,N,Y,Y,Y,N,Y,N,N,N,Y,N,Y,12 oz.,1.740000000000000,50
